"student_id,term,credit_hours,major,college,retention_flag"
"S1001,Fall 2024,15,Biology,College of Science,1"
"S1002,Fall 2024,14,Computer Science,College of Engineering,1"
"S1003,Fall 2024,6,Data Science,Graduate School,1"
"S1004,Fall 2024,16,Psychology,College of Liberal Arts,1"
"S1005,Fall 2024,12,Business Administration,Business School,1"
"S1006,Fall 2024,9,English,College of Liberal Arts,0"
"S1007,Fall 2024,15,Mechanical Engineering,College of Engineering,1"
"S1008,Fall 2024,12,Public Health,Graduate School,1"
"S1009,Fall 2024,6,Marketing,Business School,0"
"S1010,Fall 2024,15,Nursing,College of Health Sciences,1"
"S1011,Spring 2025,15,Biology,College of Science,1"
"S1012,Spring 2025,14,Computer Science,College of Engineering,1"
"S1013,Spring 2025,6,Data Analytics,Graduate School,1"
"S1014,Spring 2025,12,Information Systems,Graduate School,1"
"S1015,Spring 2025,15,Finance,Business School,1"
"S1016,Spring 2025,9,English,College of Liberal Arts,0"
"S1017,Spring 2025,15,Civil Engineering,College of Engineering,1"
"S1018,Spring 2025,12,Public Administration,Graduate School,1"
"S1019,Spring 2025,6,Marketing,Business School,0"
"S1020,Spring 2025,15,Nursing,College of Health Sciences,1"
