"student_id,term,enrollment_status,level,residency,gender,race_ethnicity,first_gen"
"S1001,Fall 2024,Full-Time,Undergraduate,In-State,Female,White,Y"
"S1002,Fall 2024,Full-Time,Undergraduate,In-State,Male,Black or African American,Y"
"S1003,Fall 2024,Part-Time,Graduate,Out-of-State,Female,Asian,N"
"S1004,Fall 2024,Full-Time,Undergraduate,In-State,Female,Hispanic or Latino,Y"
"S1005,Fall 2024,Full-Time,Graduate,International,Male,Asian,N"
"S1006,Fall 2024,Part-Time,Undergraduate,In-State,Male,White,Y"
"S1007,Fall 2024,Full-Time,Undergraduate,Out-of-State,Female,Black or African American,N"
"S1008,Fall 2024,Full-Time,Graduate,In-State,Female,White,N"
"S1009,Fall 2024,Part-Time,Undergraduate,International,Male,Hispanic or Latino,Y"
"S1010,Fall 2024,Full-Time,Undergraduate,In-State,Female,White,N"
"S1011,Spring 2025,Full-Time,Undergraduate,In-State,Male,White,Y"
"S1012,Spring 2025,Full-Time,Undergraduate,Out-of-State,Female,Asian,N"
"S1013,Spring 2025,Part-Time,Graduate,In-State,Male,Black or African American,N"
"S1014,Spring 2025,Full-Time,Graduate,International,Female,Asian,N"
"S1015,Spring 2025,Full-Time,Undergraduate,In-State,Male,Hispanic or Latino,Y"
"S1016,Spring 2025,Part-Time,Undergraduate,In-State,Female,White,Y"
"S1017,Spring 2025,Full-Time,Undergraduate,Out-of-State,Male,White,N"
"S1018,Spring 2025,Full-Time,Graduate,In-State,Female,Black or African American,N"
"S1019,Spring 2025,Part-Time,Undergraduate,International,Male,Asian,Y"
"S1020,Spring 2025,Full-Time,Undergraduate,In-State,Female,White,N"
